#SampleID	GroupID	OldID
ACT2KOr1	ACT2KO	ACT2KOr1
ACT2KOr10	ACT2KO	ACT2KOr10
ACT2KOr13	ACT2KO	ACT2KOr13
ACT2KOr14	ACT2KO	ACT2KOr14
ACT2KOr15	ACT2KO	ACT2KOr15
ACT2KOr16	ACT2KO	ACT2KOr16
ACT2KOr17	ACT2KO	ACT2KOr17
ACT2KOr7	ACT2KO	ACT2KOr7
ACT2KOr9	ACT2KO	ACT2KOr9
Colr11	Col	Colr11
Colr13	Col	Colr13
Colr15	Col	Colr15
Colr17	Col	Colr17
Colr2	Col	Colr2
Colr3	Col	Colr3
Colr4	Col	Colr4
Colr5	Col	Colr5
Colr9	Col	Colr9
ThasKO2r1	ThasKO2	ThasKO2r1
ThasKO2r10	ThasKO2	ThasKO2r10
ThasKO2r11	ThasKO2	ThasKO2r11
ThasKO2r16	ThasKO2	ThasKO2r16
ThasKO2r2	ThasKO2	ThasKO2r2
ThasKO2r3	ThasKO2	ThasKO2r3
ThasKO2r4	ThasKO2	ThasKO2r4
ThasKO2r5	ThasKO2	ThasKO2r5
ThasKO2r9	ThasKO2	ThasKO2r9
BSr1	BS	BS-1
BSr2	BS	BS-2
BSr3	BS	BS-3
BSr4	BS	BS-4
BSr5	BS	BS-5
BSr6	BS	BS-6
BSr7	BS	BS-7
BSr8	BS	BS-8
BSr9	BS	BS-9
